Applicant_ID,Gender,Age,Marital_Status,Housing_Type,Education_Level,Income_Type,Annual_Income,Employment_Duration,Family_Members,Existing_Loans,Credit_Inquiries,Past_Due_Records,Approval_Status
ACC-10000,Female,24,Married,Rented Apartment,Secondary / Secondary Special,Working,44500.0,2.3,3,1,1,1,0
ACC-10001,Male,27,Married,Rented Apartment,Secondary / Secondary Special,Commercial Associate,88900.0,6.0,1,2,3,0,0
ACC-10002,Male,65,Single,Own House,Higher Education,Working,78500.0,42.0,4,3,4,0,1
ACC-10003,Male,55,Single,Own House,Secondary / Secondary Special,Working,52700.0,32.6,2,1,1,0,1
ACC-10004,Female,29,Single,Own House,Secondary / Secondary Special,Working,48200.0,0.6,3,0,0,2,0
ACC-10005,Female,28,Married,Rented Apartment,Secondary / Secondary Special,Pensioner,28900.0,7.4,1,2,3,0,0
ACC-10006,Female,65,Separated,Own House,Secondary / Secondary Special,Pensioner,81100.0,2.9,2,1,0,0,1
ACC-10007,Male,37,Married,Own House,Higher Education,Working,65400.0,4.9,4,1,0,0,1
ACC-10008,Male,37,Civil Union,Rented Apartment,Secondary / Secondary Special,Working,97400.0,9.0,4,1,0,1,1
ACC-10009,Male,53,Separated,Own House,Secondary / Secondary Special,Working,57700.0,16.1,1,2,2,0,1
ACC-10010,Female,52,Married,Own House,Secondary / Secondary Special,Working,50600.0,19.5,2,4,4,0,1
ACC-10011,Male,28,Single,Own House,Higher Education,Commercial Associate,113400.0,4.1,2,3,1,4,0
ACC-10012,Male,39,Married,With Parents,Secondary / Secondary Special,Working,66200.0,17.8,1,0,4,2,0
ACC-10013,Female,58,Married,With Parents,Higher Education,Commercial Associate,100700.0,9.5,3,1,0,3,0
ACC-10014,Female,23,Married,Rented Apartment,Higher Education,Working,94800.0,1.2,1,0,0,0,1
ACC-10015,Female,25,Single,Own House,Secondary / Secondary Special,Pensioner,45800.0,4.6,2,0,1,2,0
ACC-10016,Female,33,Civil Union,Own House,Higher Education,Commercial Associate,100300.0,1.5,3,2,4,0,1
ACC-10017,Female,51,Single,Municipal Housing,Higher Education,Working,110600.0,19.1,2,0,1,0,1
ACC-10018,Female,36,Married,Municipal Housing,Secondary / Secondary Special,State Servant,33200.0,11.1,3,1,0,0,1
ACC-10019,Female,52,Single,Own House,Secondary / Secondary Special,State Servant,44900.0,16.4,5,1,0,0,1
ACC-10020,Male,42,Separated,Rented Apartment,Incomplete Higher,Working,47700.0,15.4,1,2,0,0,1
ACC-10021,Female,49,Married,Own House,Higher Education,Working,66700.0,5.4,3,0,0,0,1
ACC-10022,Female,42,Separated,Own House,Secondary / Secondary Special,Pensioner,46900.0,18.8,1,0,0,1,1
ACC-10023,Female,63,Married,Rented Apartment,Secondary / Secondary Special,Working,76100.0,6.5,2,1,3,0,1
ACC-10024,Female,23,Single,Own House,Higher Education,Working,46800.0,1.5,1,0,1,0,1
ACC-10025,Male,30,Married,With Parents,Higher Education,Working,79600.0,1.2,1,4,2,0,0
ACC-10026,Female,62,Married,Own House,Higher Education,State Servant,82900.0,23.1,2,2,0,2,1
ACC-10027,Female,41,Married,Own House,Secondary / Secondary Special,State Servant,58700.0,14.2,2,1,0,0,1
ACC-10028,Male,36,Single,With Parents,Higher Education,Pensioner,41700.0,15.1,4,2,1,0,1
ACC-10029,Female,32,Married,With Parents,Secondary / Secondary Special,Commercial Associate,73100.0,9.0,3,0,3,0,0
ACC-10030,Male,22,Married,Own House,Secondary / Secondary Special,Working,45000.0,1.3,5,2,1,2,0
ACC-10031,Female,61,Single,Own House,Higher Education,Commercial Associate,97600.0,38.3,2,0,3,0,1
ACC-10032,Female,44,Civil Union,Own House,Incomplete Higher,State Servant,27200.0,11.7,1,2,2,0,0
ACC-10033,Male,55,Married,Own House,Secondary / Secondary Special,Working,57800.0,19.9,2,1,0,0,1
ACC-10034,Male,50,Married,Municipal Housing,Secondary / Secondary Special,Working,49200.0,18.1,2,0,0,2,0
ACC-10035,Male,50,Married,With Parents,Higher Education,Working,84200.0,12.6,2,0,2,0,1
ACC-10036,Female,55,Married,Own House,Secondary / Secondary Special,Commercial Associate,86600.0,29.4,3,1,1,0,1
ACC-10037,Female,39,Single,Own House,Higher Education,State Servant,89000.0,3.9,2,1,0,0,1
ACC-10038,Male,28,Single,Own House,Higher Education,Commercial Associate,122500.0,4.7,2,0,1,3,0
